Image Name,Label,Probability,"Top-Left (x, y)","Bottom-Right (x, y)"
000f579533500448.jpg,tie,0.7,"(np.float32(547.5838), np.float32(275.446))","(np.float32(566.0404), np.float32(289.87982))"
000f579533500448.jpg,person,0.69,"(np.float32(273.22952), np.float32(200.79768))","(np.float32(308.79987), np.float32(234.8797))"
000f579533500448.jpg,bottle,0.67,"(np.float32(648.6751), np.float32(246.67189))","(np.float32(662.81836), np.float32(290.25223))"
000f579533500448.jpg,person,0.64,"(np.float32(45.641876), np.float32(267.0095))","(np.float32(271.42218), np.float32(545.84064))"
000f579533500448.jpg,wine glass,0.63,"(np.float32(640.5263), np.float32(372.13605))","(np.float32(661.1307), np.float32(431.80072))"
000f579533500448.jpg,chair,0.63,"(np.float32(7.2596064), np.float32(323.2527))","(np.float32(120.012634), np.float32(467.54242))"
000f579533500448.jpg,wine glass,0.5,"(np.float32(374.21826), np.float32(361.19107))","(np.float32(397.05722), np.float32(398.61768))"
000f579533500448.jpg,wine glass,0.48,"(np.float32(608.9028), np.float32(354.2338))","(np.float32(640.81305), np.float32(435.47372))"
000f579533500448.jpg,wine glass,0.46,"(np.float32(366.41064), np.float32(370.26654))","(np.float32(396.54852), np.float32(438.40927))"
000f579533500448.jpg,chair,0.46,"(np.float32(1.7905402), np.float32(315.41666))","(np.float32(74.24931), np.float32(399.08127))"
000f579533500448.jpg,person,0.44,"(np.float32(641.55347), np.float32(186.71211))","(np.float32(727.75555), np.float32(335.9719))"
000f579533500448.jpg,wine glass,0.44,"(np.float32(296.0391), np.float32(360.60385))","(np.float32(326.15118), np.float32(432.45633))"
000f579533500448.jpg,bottle,0.43,"(np.float32(626.1517), np.float32(241.31656))","(np.float32(639.7037), np.float32(269.12146))"
000f579533500448.jpg,cup,0.43,"(np.float32(640.6772), np.float32(372.60736))","(np.float32(659.9462), np.float32(404.70737))"
000f579533500448.jpg,wine glass,0.42,"(np.float32(285.23685), np.float32(363.3365))","(np.float32(316.4349), np.float32(432.2659))"
000f579533500448.jpg,chair,0.42,"(np.float32(235.79282), np.float32(632.43274))","(np.float32(318.53888), np.float32(767.5772))"
000f579533500448.jpg,dining table,0.4,"(np.float32(251.09332), np.float32(446.98264))","(np.float32(369.32364), np.float32(610.42804))"
000f579533500448.jpg,bottle,0.4,"(np.float32(224.64894), np.float32(342.6227))","(np.float32(259.43332), np.float32(450.51236))"
000f579533500448.jpg,wine glass,0.39,"(np.float32(269.16043), np.float32(369.79224))","(np.float32(293.9038), np.float32(429.42773))"
000f579533500448.jpg,dining table,0.37,"(np.float32(578.6878), np.float32(364.5461))","(np.float32(696.0227), np.float32(487.38058))"
000f579533500448.jpg,cup,0.37,"(np.float32(606.89996), np.float32(353.57736))","(np.float32(639.8815), np.float32(420.66223))"
000f579533500448.jpg,person,0.34,"(np.float32(665.18085), np.float32(184.56198))","(np.float32(733.4481), np.float32(263.39584))"
000f579533500448.jpg,wine glass,0.33,"(np.float32(241.70065), np.float32(269.0055))","(np.float32(272.16107), np.float32(300.93045))"
000f579533500448.jpg,person,0.32,"(np.float32(259.73746), np.float32(200.63466))","(np.float32(309.91122), np.float32(289.77396))"
000f579533500448.jpg,dining table,0.31,"(np.float32(232.18668), np.float32(351.37167))","(np.float32(435.2098), np.float32(582.0243))"
000f579533500448.jpg,wine glass,0.29,"(np.float32(414.35693), np.float32(338.84314))","(np.float32(439.20676), np.float32(407.94543))"
000f579533500448.jpg,wine glass,0.28,"(np.float32(393.8036), np.float32(375.7746))","(np.float32(427.25848), np.float32(420.21808))"
000f579533500448.jpg,dining table,0.27,"(np.float32(257.67783), np.float32(486.30655))","(np.float32(752.8279), np.float32(752.82434))"
000f579533500448.jpg,wine glass,0.26,"(np.float32(642.17255), np.float32(369.73764))","(np.float32(661.8024), np.float32(404.26276))"
000f579533500448.jpg,bottle,0.25,"(np.float32(635.35565), np.float32(253.74773))","(np.float32(646.08563), np.float32(297.78))"
000f579533500448.jpg,bottle,0.24,"(np.float32(643.92474), np.float32(249.66179))","(np.float32(657.02844), np.float32(294.23245))"
000f579533500448.jpg,dining table,0.24,"(np.float32(81.14734), np.float32(370.03693))","(np.float32(718.39667), np.float32(738.05597))"
000f579533500448.jpg,cup,0.23,"(np.float32(222.99762), np.float32(361.79202))","(np.float32(261.195), np.float32(444.69644))"
000f579533500448.jpg,wine glass,0.23,"(np.float32(440.20297), np.float32(313.81226))","(np.float32(460.10577), np.float32(408.7752))"
000f579533500448.jpg,dining table,0.22,"(np.float32(0.0), np.float32(314.85745))","(np.float32(101.36224), np.float32(396.623))"
000f579533500448.jpg,chair,0.22,"(np.float32(65.141945), np.float32(329.23605))","(np.float32(113.864136), np.float32(400.73495))"
000f579533500448.jpg,cell phone,0.2,"(np.float32(228.04494), np.float32(351.5516))","(np.float32(244.463), np.float32(366.15625))"
000f579533500448.jpg,person,0.2,"(np.float32(334.9279), np.float32(264.4948))","(np.float32(637.6763), np.float32(544.14343))"
000f579533500448.jpg,wine glass,0.19,"(np.float32(302.33423), np.float32(358.08188))","(np.float32(326.99368), np.float32(408.10217))"
000f579533500448.jpg,wine glass,0.19,"(np.float32(419.70303), np.float32(330.80972))","(np.float32(451.55362), np.float32(408.3851))"
000f579533500448.jpg,chair,0.17,"(np.float32(650.817), np.float32(471.09793))","(np.float32(721.3226), np.float32(544.2996))"
000f579533500448.jpg,chair,0.17,"(np.float32(74.037735), np.float32(495.00668))","(np.float32(311.58185), np.float32(752.9707))"
000f579533500448.jpg,chair,0.17,"(np.float32(53.846184), np.float32(328.8721))","(np.float32(112.65195), np.float32(451.06946))"
000f579533500448.jpg,cup,0.17,"(np.float32(393.08612), np.float32(376.94104))","(np.float32(428.84274), np.float32(419.74915))"
000f579533500448.jpg,dining table,0.16,"(np.float32(182.89098), np.float32(329.69568))","(np.float32(483.0296), np.float32(506.80334))"
000f579533500448.jpg,wine glass,0.16,"(np.float32(275.1658), np.float32(362.4808))","(np.float32(296.9053), np.float32(403.68387))"
000f579533500448.jpg,wine glass,0.15,"(np.float32(550.09235), np.float32(339.81787))","(np.float32(585.4453), np.float32(404.8632))"
000f579533500448.jpg,wine glass,0.15,"(np.float32(338.85278), np.float32(353.21838))","(np.float32(367.39972), np.float32(388.5954))"
000f579533500448.jpg,wine glass,0.15,"(np.float32(404.5805), np.float32(372.47034))","(np.float32(434.2844), np.float32(416.604))"
000f579533500448.jpg,wine glass,0.15,"(np.float32(313.9907), np.float32(354.48776))","(np.float32(337.7885), np.float32(407.03152))"
000f579533500448.jpg,cup,0.14,"(np.float32(256.41187), np.float32(391.22507))","(np.float32(287.07468), np.float32(427.00793))"
000f579533500448.jpg,wine glass,0.14,"(np.float32(278.1662), np.float32(362.72418))","(np.float32(305.88046), np.float32(394.1182))"
000f579533500448.jpg,dining table,0.14,"(np.float32(243.93822), np.float32(407.08713))","(np.float32(380.33548), np.float32(526.6801))"
000f579533500448.jpg,person,0.14,"(np.float32(0.0), np.float32(235.27829))","(np.float32(115.0572), np.float32(439.5314))"
000f579533500448.jpg,person,0.14,"(np.float32(132.71198), np.float32(213.82462))","(np.float32(277.58185), np.float32(497.4968))"
000f579533500448.jpg,chair,0.14,"(np.float32(24.142479), np.float32(308.24567))","(np.float32(197.79997), np.float32(462.9184))"
000f579533500448.jpg,wine glass,0.13,"(np.float32(443.417), np.float32(355.7198))","(np.float32(460.29962), np.float32(407.01645))"
000f579533500448.jpg,person,0.13,"(np.float32(414.5357), np.float32(198.57413))","(np.float32(504.18295), np.float32(318.74048))"
000f579533500448.jpg,wine glass,0.13,"(np.float32(256.72876), np.float32(373.14594))","(np.float32(288.49445), np.float32(431.9337))"
000f579533500448.jpg,bottle,0.13,"(np.float32(639.4998), np.float32(251.7967))","(np.float32(651.3794), np.float32(294.71725))"
000f579533500448.jpg,wine glass,0.13,"(np.float32(621.72705), np.float32(363.11334))","(np.float32(661.1072), np.float32(435.318))"
000f579533500448.jpg,dining table,0.12,"(np.float32(627.9719), np.float32(434.8564))","(np.float32(679.2914), np.float32(503.48953))"
000f579533500448.jpg,wine glass,0.12,"(np.float32(551.1926), np.float32(334.0197))","(np.float32(572.1219), np.float32(396.38293))"
000f579533500448.jpg,chair,0.12,"(np.float32(21.100422), np.float32(325.39056))","(np.float32(307.37073), np.float32(615.2167))"
000f579533500448.jpg,dining table,0.11,"(np.float32(667.75775), np.float32(500.17593))","(np.float32(800.5013), np.float32(669.6337))"
000f579533500448.jpg,cup,0.11,"(np.float32(622.18024), np.float32(354.4531))","(np.float32(647.9023), np.float32(410.3544))"
000f579533500448.jpg,cup,0.1,"(np.float32(610.4961), np.float32(258.0083))","(np.float32(622.3754), np.float32(283.4847))"
000f579533500448.jpg,dining table,0.1,"(np.float32(559.4911), np.float32(331.1584))","(np.float32(716.1366), np.float32(529.11))"
000f579533500448.jpg,cup,0.1,"(np.float32(254.96574), np.float32(376.4117))","(np.float32(271.32303), np.float32(415.3512))"
000f579533500448.jpg,person,0.1,"(np.float32(667.6774), np.float32(200.27844))","(np.float32(682.99786), np.float32(230.92087))"
000f579533500448.jpg,person,0.1,"(np.float32(71.061165), np.float32(255.47716))","(np.float32(100.59076), np.float32(284.56766))"
000f579533500448.jpg,cup,0.1,"(np.float32(268.551), np.float32(376.07297))","(np.float32(294.04974), np.float32(426.6706))"
000fdfc1f01572d4.jpg,person,0.99,"(np.float32(193.6512), np.float32(211.72052))","(np.float32(441.6833), np.float32(645.1758))"
000fdfc1f01572d4.jpg,person,0.99,"(np.float32(690.5787), np.float32(171.39035))","(np.float32(868.0937), np.float32(501.2926))"
000fdfc1f01572d4.jpg,person,0.97,"(np.float32(900.28485), np.float32(495.19308))","(np.float32(1024.0), np.float32(678.34937))"
000fdfc1f01572d4.jpg,person,0.96,"(np.float32(1.2987354), np.float32(462.62033))","(np.float32(111.680984), np.float32(658.06573))"
000fdfc1f01572d4.jpg,person,0.96,"(np.float32(441.78394), np.float32(464.20602))","(np.float32(709.6806), np.float32(671.8186))"
000fdfc1f01572d4.jpg,person,0.95,"(np.float32(849.31757), np.float32(337.32028))","(np.float32(955.0806), np.float32(425.18216))"
000fdfc1f01572d4.jpg,person,0.95,"(np.float32(121.964676), np.float32(599.16327))","(np.float32(287.6686), np.float32(679.33636))"
000fdfc1f01572d4.jpg,person,0.95,"(np.float32(419.0269), np.float32(403.54932))","(np.float32(487.5245), np.float32(504.32562))"
000fdfc1f01572d4.jpg,person,0.94,"(np.float32(118.89496), np.float32(394.86792))","(np.float32(267.2799), np.float32(593.7892))"
000fdfc1f01572d4.jpg,person,0.92,"(np.float32(626.03143), np.float32(486.94278))","(np.float32(813.58813), np.float32(674.84576))"
000fdfc1f01572d4.jpg,person,0.91,"(np.float32(452.61533), np.float32(405.70898))","(np.float32(585.41327), np.float32(578.3102))"
000fdfc1f01572d4.jpg,person,0.9,"(np.float32(193.80809), np.float32(530.2441))","(np.float32(470.90186), np.float32(675.33905))"
000fdfc1f01572d4.jpg,person,0.89,"(np.float32(937.6433), np.float32(318.61383))","(np.float32(1010.8269), np.float32(388.6791))"
000fdfc1f01572d4.jpg,person,0.89,"(np.float32(50.853077), np.float32(407.5927))","(np.float32(166.78487), np.float32(547.7372))"
000fdfc1f01572d4.jpg,person,0.84,"(np.float32(407.48907), np.float32(361.63376))","(np.float32(443.11572), np.float32(422.1734))"
000fdfc1f01572d4.jpg,person,0.84,"(np.float32(425.70105), np.float32(358.98856))","(np.float32(490.00427), np.float32(432.4923))"
000fdfc1f01572d4.jpg,person,0.84,"(np.float32(26.53864), np.float32(601.2986))","(np.float32(160.66602), np.float32(677.35406))"
000fdfc1f01572d4.jpg,person,0.83,"(np.float32(119.10555), np.float32(397.53656))","(np.float32(187.1802), np.float32(532.34863))"
000fdfc1f01572d4.jpg,person,0.83,"(np.float32(181.39014), np.float32(382.2499))","(np.float32(220.56094), np.float32(476.17804))"
000fdfc1f01572d4.jpg,person,0.82,"(np.float32(842.1055), np.float32(309.7417))","(np.float32(878.21344), np.float32(353.1687))"
000fdfc1f01572d4.jpg,person,0.82,"(np.float32(3.153931), np.float32(395.1949))","(np.float32(61.204853), np.float32(474.12488))"
000fdfc1f01572d4.jpg,person,0.81,"(np.float32(725.1138), np.float32(389.90802))","(np.float32(894.6207), np.float32(531.3703))"
000fdfc1f01572d4.jpg,person,0.79,"(np.float32(990.74097), np.float32(414.80386))","(np.float32(1023.84106), np.float32(497.96933))"
000fdfc1f01572d4.jpg,person,0.76,"(np.float32(25.840237), np.float32(392.28952))","(np.float32(70.03083), np.float32(461.89398))"
000fdfc1f01572d4.jpg,person,0.74,"(np.float32(319.43524), np.float32(478.94403))","(np.float32(829.3046), np.float32(678.2052))"
000fdfc1f01572d4.jpg,person,0.73,"(np.float32(980.3721), np.float32(317.4325))","(np.float32(1019.7778), np.float32(370.51254))"
000fdfc1f01572d4.jpg,person,0.73,"(np.float32(897.1102), np.float32(323.1038))","(np.float32(949.5638), np.float32(386.17422))"
000fdfc1f01572d4.jpg,person,0.72,"(np.float32(95.62417), np.float32(397.78616))","(np.float32(136.3744), np.float32(461.95236))"
000fdfc1f01572d4.jpg,chair,0.7,"(np.float32(398.03348), np.float32(490.16315))","(np.float32(453.18723), np.float32(631.239))"
000fdfc1f01572d4.jpg,person,0.7,"(np.float32(669.12103), np.float32(384.90393))","(np.float32(731.42456), np.float32(458.69745))"
000fdfc1f01572d4.jpg,person,0.7,"(np.float32(595.12585), np.float32(392.18497))","(np.float32(704.57196), np.float32(533.6851))"
000fdfc1f01572d4.jpg,chair,0.69,"(np.float32(649.0487), np.float32(450.8372))","(np.float32(707.0025), np.float32(539.27435))"
000fdfc1f01572d4.jpg,person,0.68,"(np.float32(592.0771), np.float32(396.67233))","(np.float32(677.23016), np.float32(470.9343))"
000fdfc1f01572d4.jpg,person,0.66,"(np.float32(508.52414), np.float32(400.49002))","(np.float32(601.12604), np.float32(557.7559))"
000fdfc1f01572d4.jpg,person,0.63,"(np.float32(637.41895), np.float32(366.19382))","(np.float32(693.17706), np.float32(449.81525))"
000fdfc1f01572d4.jpg,person,0.61,"(np.float32(518.6831), np.float32(362.0181))","(np.float32(563.2359), np.float32(412.13574))"
000fdfc1f01572d4.jpg,chair,0.6,"(np.float32(671.45776), np.float32(531.2363))","(np.float32(710.0936), np.float32(590.89294))"
000fdfc1f01572d4.jpg,person,0.6,"(np.float32(926.3465), np.float32(307.17926))","(np.float32(964.5717), np.float32(370.47153))"
000fdfc1f01572d4.jpg,person,0.6,"(np.float32(419.85828), np.float32(417.86185))","(np.float32(640.0718), np.float32(617.5704))"
000fdfc1f01572d4.jpg,person,0.58,"(np.float32(643.7594), np.float32(378.23105))","(np.float32(721.877), np.float32(492.73117))"
000fdfc1f01572d4.jpg,person,0.57,"(np.float32(63.59213), np.float32(420.81577))","(np.float32(100.95352), np.float32(464.5494))"
000fdfc1f01572d4.jpg,person,0.56,"(np.float32(171.4076), np.float32(385.35446))","(np.float32(231.28026), np.float32(508.61575))"
000fdfc1f01572d4.jpg,person,0.56,"(np.float32(648.6312), np.float32(326.37985))","(np.float32(687.7434), np.float32(379.51245))"
000fdfc1f01572d4.jpg,person,0.56,"(np.float32(815.3246), np.float32(382.8099))","(np.float32(990.579), np.float32(541.92676))"
000fdfc1f01572d4.jpg,person,0.55,"(np.float32(483.49918), np.float32(356.86465))","(np.float32(527.0965), np.float32(425.80295))"
000fdfc1f01572d4.jpg,person,0.52,"(np.float32(36.279987), np.float32(418.8221))","(np.float32(70.54548), np.float32(462.07535))"
000fdfc1f01572d4.jpg,person,0.49,"(np.float32(752.8903), np.float32(490.40198))","(np.float32(1001.35675), np.float32(680.2614))"
000fdfc1f01572d4.jpg,person,0.47,"(np.float32(909.49396), np.float32(310.881))","(np.float32(973.79285), np.float32(388.41516))"
000fdfc1f01572d4.jpg,person,0.47,"(np.float32(83.752655), np.float32(568.3143))","(np.float32(351.3484), np.float32(680.2968))"
000fdfc1f01572d4.jpg,person,0.46,"(np.float32(137.41055), np.float32(395.06097))","(np.float32(239.42972), np.float32(537.21295))"
000fdfc1f01572d4.jpg,person,0.42,"(np.float32(476.76065), np.float32(406.61716))","(np.float32(539.0026), np.float32(484.73743))"
000fdfc1f01572d4.jpg,person,0.42,"(np.float32(570.75757), np.float32(358.61166))","(np.float32(623.27277), np.float32(415.76382))"
000fdfc1f01572d4.jpg,person,0.41,"(np.float32(898.18756), np.float32(324.711))","(np.float32(932.45544), np.float32(371.02533))"
000fdfc1f01572d4.jpg,person,0.39,"(np.float32(685.87976), np.float32(357.44794))","(np.float32(711.9137), np.float32(395.00232))"
000fdfc1f01572d4.jpg,person,0.38,"(np.float32(59.317757), np.float32(421.76297))","(np.float32(127.10868), np.float32(525.02765))"
000fdfc1f01572d4.jpg,chair,0.36,"(np.float32(50.93672), np.float32(513.7463))","(np.float32(107.00146), np.float32(611.7527))"
000fdfc1f01572d4.jpg,person,0.32,"(np.float32(605.5581), np.float32(350.2083))","(np.float32(639.6236), np.float32(393.15918))"
000fdfc1f01572d4.jpg,person,0.29,"(np.float32(873.0344), np.float32(319.7679))","(np.float32(899.1477), np.float32(341.41562))"
000fdfc1f01572d4.jpg,person,0.29,"(np.float32(185.5687), np.float32(383.59216))","(np.float32(219.21022), np.float32(436.33356))"
000fdfc1f01572d4.jpg,person,0.28,"(np.float32(539.55237), np.float32(346.9987))","(np.float32(572.5385), np.float32(382.5022))"
000fdfc1f01572d4.jpg,person,0.28,"(np.float32(372.8032), np.float32(364.80173))","(np.float32(441.23828), np.float32(494.57385))"
000fdfc1f01572d4.jpg,person,0.27,"(np.float32(830.9605), np.float32(311.7775))","(np.float32(878.54474), np.float32(384.5727))"
000fdfc1f01572d4.jpg,person,0.27,"(np.float32(0.19728188), np.float32(394.5219))","(np.float32(37.955395), np.float32(456.11398))"
000fdfc1f01572d4.jpg,person,0.27,"(np.float32(98.70191), np.float32(500.16937))","(np.float32(631.8901), np.float32(678.57916))"
000fdfc1f01572d4.jpg,chair,0.25,"(np.float32(860.0475), np.float32(415.76703))","(np.float32(989.2723), np.float32(543.34314))"
000fdfc1f01572d4.jpg,chair,0.24,"(np.float32(938.35077), np.float32(380.43088))","(np.float32(1015.0131), np.float32(425.00012))"
000fdfc1f01572d4.jpg,person,0.21,"(np.float32(826.45496), np.float32(341.30392))","(np.float32(881.46106), np.float32(404.77393))"
000fdfc1f01572d4.jpg,person,0.19,"(np.float32(928.0613), np.float32(490.16977))","(np.float32(1022.04193), np.float32(539.8971))"
000fdfc1f01572d4.jpg,chair,0.19,"(np.float32(863.532), np.float32(533.47974))","(np.float32(932.36115), np.float32(557.2388))"
000fdfc1f01572d4.jpg,person,0.19,"(np.float32(428.75064), np.float32(407.14206))","(np.float32(539.259), np.float32(609.39514))"
000fdfc1f01572d4.jpg,person,0.18,"(np.float32(677.4507), np.float32(373.71606))","(np.float32(715.1695), np.float32(440.56967))"
000fdfc1f01572d4.jpg,person,0.18,"(np.float32(391.03186), np.float32(362.14377))","(np.float32(443.3091), np.float32(456.03757))"
